familyName,givenName,gender,affiliatedTo,dbpediaURI,yagoURI
Poe,Ted,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Ted_Poe,http://yago-knowledge.org/resource/Ted_Poe
Gallagher,Tom,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Tom_Gallagher,http://yago-knowledge.org/resource/Tom_Gallagher
Griffith,Morgan,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Morgan_Griffith,http://yago-knowledge.org/resource/Morgan_Griffith
Moorhead,Carlos,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Carlos_Moorhead,http://yago-knowledge.org/resource/Carlos_Moorhead
Walorski,Jackie,http://yago-knowledge.org/resource/female,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Jackie_Walorski,http://yago-knowledge.org/resource/Jackie_Walorski
Davis,Jeannemarie,http://yago-knowledge.org/resource/female,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Jeannemarie_Devolites_Davis,http://yago-knowledge.org/resource/Jeannemarie_Devolites_Davis
Tilley,Steven,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Steven_Tilley,http://yago-knowledge.org/resource/Steven_Tilley
Kramer,Ken,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Ken_Kramer,http://yago-knowledge.org/resource/Ken_Kramer
Geringer,Jim,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Jim_Geringer,http://yago-knowledge.org/resource/Jim_Geringer
Long,Billy,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Billy_Long,http://yago-knowledge.org/resource/Billy_Long
Fincher,Stephen,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Stephen_Fincher,http://yago-knowledge.org/resource/Stephen_Fincher
Marino,Tom,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Tom_Marino,http://yago-knowledge.org/resource/Tom_Marino
Ney,Bob,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Bob_Ney,http://yago-knowledge.org/resource/Bob_Ney
Hobson,Dave,http://yago-knowledge.org/resource/male,http://yago-knowledge.org/resource/Republican_Party_(United_States),http://dbpedia.org/resource/Dave_Hobson,http://yago-knowledge.org/resource/Dave_Hobson
